Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.19.0.5-172.19.0.7-42064-5000-6,172.19.0.5,42064,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,2920,5,5,189.0,0.0,135.0,0.0,37.8,56.1489091612651,0.0,0.0,0.0,0.0,64726.02739726028,3424.6575342465753,324.44444444444446,587.9757884282122,1603.0,4.0,1313.0,328.25,491.0189236000313,1063.0,36.0,2871.0,717.75,781.7482011491936,1603.0,33.0,0,0,0,0,168,168,1712.3287671232877,1712.3287671232877,0.0,135.0,17.18181818181818,40.629590649717805,1650.7636363636364,1,2,0,3,9,0,0,0,1.0,18.9,37.8,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.67464890640821E15,559.7892877251097,1.674648906408611E15,1.674648906407355E15,Attack
172.19.0.5-172.19.0.7-42066-5000-6,172.19.0.5,42066,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,12769,5,5,189.0,0.0,135.0,0.0,37.8,56.1489091612651,0.0,0.0,0.0,0.0,14801.472315764742,783.1466833737959,1418.7777777777778,4118.0138045475815,12399.0,3.0,367.0,91.75,75.60588601425157,197.0,26.0,12716.0,3179.0,6147.496563642798,12399.0,24.0,0,0,0,0,168,168,391.57334168689795,391.57334168689795,0.0,135.0,17.18181818181818,40.629590649717805,1650.7636363636364,1,2,0,3,9,0,0,0,1.0,18.9,37.8,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064113172E15,127.11402625061822,1.67464890641143E15,1.674648906411109E15,Attack
172.19.0.5-172.19.0.7-42068-5000-6,172.19.0.5,42068,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,11131,5,5,189.0,0.0,135.0,0.0,37.8,56.1489091612651,0.0,0.0,0.0,0.0,16979.6065043572,898.391878537418,1236.7777777777778,2872.422313039022,8640.0,3.0,2488.0,622.0,1093.1925722396763,2261.0,28.0,11073.0,2768.25,4059.988700723193,8640.0,24.0,0,0,0,0,168,168,449.195939268709,449.195939268709,0.0,135.0,17.18181818181818,40.629590649717805,1650.7636363636364,1,2,0,3,9,0,0,0,1.0,18.9,37.8,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.674648906415229E15,1139.3826847819623,1.674648906415956E15,1.674648906413521E15,Attack
172.19.0.5-172.19.0.7-42070-5000-6,172.19.0.5,42070,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,8165,5,5,188.0,0.0,135.0,0.0,37.6,56.22543908232287,0.0,0.0,0.0,0.0,23025.107164727495,1224.739742804654,907.2222222222222,2581.9864822350337,7791.0,4.0,370.0,92.5,67.85523806850384,180.0,27.0,8101.0,2025.25,3845.0047572575686,7791.0,26.0,0,0,0,0,168,168,612.369871402327,612.369871402327,0.0,135.0,17.09090909090909,40.62131102132117,1650.0909090909088,1,2,0,3,9,0,0,0,1.0,18.8,37.6,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064185902E15,123.68752691955721,1.674648906418703E15,1.674648906418384E15,Attack
172.19.0.5-172.19.0.7-42072-5000-6,172.19.0.5,42072,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,12517,5,5,189.0,0.0,135.0,0.0,37.8,56.1489091612651,0.0,0.0,0.0,0.0,15099.46472796996,798.9134776703683,1390.7777777777778,3927.467370258402,11856.0,3.0,658.0,164.5,215.99459869789953,487.0,28.0,12473.0,3118.25,5829.779834321934,11856.0,25.0,0,0,0,0,168,168,399.4567388351841,399.4567388351841,0.0,135.0,17.18181818181818,40.629590649717805,1650.7636363636364,1,2,0,3,9,0,0,0,1.0,18.9,37.8,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064270018E15,268.70031079038444,1.674648906427205E15,1.674648906426584E15,Attack
172.19.0.5-172.19.0.7-42074-5000-6,172.19.0.5,42074,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,9565,5,5,188.0,0.0,135.0,0.0,37.6,56.22543908232287,0.0,0.0,0.0,0.0,19654.9921589127,1045.4783063251436,1062.7777777777778,2948.6210666079905,8924.0,5.0,636.0,159.0,42.40283009422838,192.0,97.0,9510.0,2377.5,4365.343094572674,8924.0,67.0,0,0,0,0,168,168,522.7391531625718,522.7391531625718,0.0,135.0,17.09090909090909,40.62131102132117,1650.0909090909088,1,2,0,3,9,0,0,0,1.0,18.8,37.6,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064303818E15,205.39050114674126,1.67464890643063E15,1.674648906430093E15,Attack
172.19.0.5-172.19.0.7-42076-5000-6,172.19.0.5,42076,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,6965,5,5,188.0,0.0,135.0,0.0,37.6,56.22543908232287,0.0,0.0,0.0,0.0,26992.103374012924,1435.7501794687726,773.8888888888889,1998.6248049874473,6094.0,7.0,862.0,215.5,132.31905884389192,372.0,71.0,6904.0,1726.0,2921.279970606492,6094.0,63.0,0,0,0,0,168,168,717.8750897343863,717.8750897343863,0.0,135.0,17.09090909090909,40.62131102132117,1650.0909090909088,1,2,0,3,9,0,0,0,1.0,18.8,37.6,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064335585E15,245.12838366694027,1.674648906433861E15,1.674648906433214E15,Attack
172.19.0.5-172.19.0.7-42078-5000-6,172.19.0.5,42078,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,3873,5,5,189.0,0.0,135.0,0.0,37.8,56.1489091612651,0.0,0.0,0.0,0.0,48799.3803253292,2581.977794990963,430.3333333333333,1089.9993119263884,3332.0,6.0,534.0,133.5,93.41127697803229,237.0,52.0,3779.0,944.75,1597.2245458920295,3332.0,49.0,0,0,0,0,168,168,1290.9888974954815,1290.9888974954815,0.0,135.0,17.18181818181818,40.629590649717805,1650.7636363636364,1,2,0,3,9,0,0,0,1.0,18.9,37.8,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064367638E15,146.36531888538568,1.674648906436921E15,1.674648906436536E15,Attack
172.19.0.5-172.19.0.7-42080-5000-6,172.19.0.5,42080,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,3140,5,5,188.0,0.0,135.0,0.0,37.6,56.22543908232287,0.0,0.0,0.0,0.0,59872.611464968155,3184.7133757961783,348.8888888888889,871.0241736663289,2660.0,3.0,477.0,119.25,115.09235422042596,284.0,27.0,3079.0,769.75,1268.5412554058566,2660.0,25.0,0,0,0,0,168,168,1592.3566878980891,1592.3566878980891,0.0,135.0,17.09090909090909,40.62131102132117,1650.0909090909088,1,2,0,3,9,0,0,0,1.0,18.8,37.6,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.67464890643966E15,171.8377008590022,1.674648906439804E15,1.674648906439381E15,Attack
172.19.0.5-172.19.0.7-42082-5000-6,172.19.0.5,42082,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,2187,5,5,188.0,0.0,135.0,0.0,37.6,56.22543908232287,0.0,0.0,0.0,0.0,85962.50571559212,4572.473708276177,243.0,583.9852309776336,1793.0,4.0,390.0,97.5,71.52388878316577,186.0,30.0,2116.0,529.0,848.4460304973243,1793.0,28.0,0,0,0,0,168,168,2286.2368541380883,2286.2368541380883,0.0,135.0,17.09090909090909,40.62131102132117,1650.0909090909088,1,2,0,3,9,0,0,0,1.0,18.8,37.6,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064423492E15,128.42711660998222,1.674648906442466E15,1.674648906442135E15,Attack
